navn,symbol,storkreds,kmeans,x,y,x_pca,y_pca,y2_pca
Jeppe Jakobsen,O,Sjællands Storkreds,O,33.666855,-14.398597,6.89070808401017,-3.009884805040056,1.9914042078513001
Jeppe Bruus,S,Københavns Omegns Storkreds,S,-9.808272,-4.4738326,-1.7454297634303306,-2.2738706772557657,-0.9325723216213784
Jeppe Juhl,D,Københavns Omegns Storkreds,D,39.453790000000005,0.8048386,8.17391532500926,1.9719836551799899,2.371516172423817
Jesper Wienmann Hansen,C,Sjællands Storkreds,C,18.734215,3.3552544,6.098522706889082,-0.26664652269879074,-2.2477412371515033
Jesper Yde Knudsen,Ø,Østjyllands Storkreds,Ø,-37.192074,-3.7394016000000003,-7.290838774925981,-0.2875499363060462,1.7826741532357273
Jesper Kiel,Ø,Fyns Storkreds,Ø,-34.09748,-8.303776,-7.0766575054093765,0.1381907152417534,2.352413962537322
Jesper Abildgaard,B,Københavns Storkreds,B,-22.019165,11.028739,-1.1831806571901302,4.215083693951407,-1.216573688995795
Jesper Petersen,S,Sydjyllands Storkreds,S,-10.332444,-8.087692,-1.9776317712725018,-3.16067119255504,-0.39584968628863315
Jesper Nissen Brogaard-Radoor,K,Sydjyllands Storkreds,K,-9.114808,8.700641000000001,-1.7938476077897,-1.3989616140192254,-2.7604221564548905
Jess Christian Persson,O,Bornholms Storkreds,O,32.72871,-13.802479,5.828283994086393,-4.8299876379627955,1.299246262609449
Jette Gottlieb,Ø,Københavns Storkreds,Ø,-37.352425,-11.901862,-6.806595384087751,1.1411000939570723,2.1760004680480955
Jette Lund,O,Vestjyllands Storkreds,O,33.043533000000004,-17.521955,6.909664422381379,-2.249090057256215,2.5666464958538913
Joachim Schiødt,F,Københavns Omegns Storkreds,F,-27.591897999999997,-2.4505448,-8.011167553127736,0.5030537378199414,1.0112038869692828
Joachim Hjorting,C,Bornholms Storkreds,C,13.7488,1.3015466999999998,7.013504432832509,0.0034077640433643258,-1.0697367315801405
